Date,Close
7/1/2015 16:00:00,17.22
7/2/2015 16:00:00,17.03
7/6/2015 16:00:00,16.94
7/7/2015 16:00:00,16.69
7/8/2015 16:00:00,16.25
7/9/2015 16:00:00,16.48
7/10/2015 16:00:00,16.7
7/13/2015 16:00:00,17.02
7/14/2015 16:00:00,17.13
7/15/2015 16:00:00,17.68
7/16/2015 16:00:00,17.95
7/17/2015 16:00:00,18.1
7/20/2015 16:00:00,18.12
7/21/2015 16:00:00,18.08
7/22/2015 16:00:00,18.45
7/23/2015 16:00:00,18.18
7/24/2015 16:00:00,17.9
7/27/2015 16:00:00,17.67
7/28/2015 16:00:00,17.88
7/29/2015 16:00:00,18.16
7/30/2015 16:00:00,18.13
7/31/2015 16:00:00,17.88
8/3/2015 16:00:00,17.77
8/4/2015 16:00:00,17.8
8/5/2015 16:00:00,17.87
8/6/2015 16:00:00,17.81
8/7/2015 16:00:00,17.75
8/10/2015 16:00:00,18.04
8/11/2015 16:00:00,17.79
8/12/2015 16:00:00,17.52
8/13/2015 16:00:00,17.62
8/14/2015 16:00:00,17.7
8/17/2015 16:00:00,17.77
8/18/2015 16:00:00,17.69
8/19/2015 16:00:00,17.46
8/20/2015 16:00:00,16.72
8/21/2015 16:00:00,16.1
8/24/2015 16:00:00,15.29
8/25/2015 16:00:00,15.26
8/26/2015 16:00:00,16.06
8/27/2015 16:00:00,16.44
8/28/2015 16:00:00,16.36
8/31/2015 16:00:00,16.34
9/1/2015 16:00:00,15.58
9/2/2015 16:00:00,15.85
9/3/2015 16:00:00,15.94
9/4/2015 16:00:00,15.65
9/8/2015 16:00:00,16.16
9/9/2015 16:00:00,15.9
9/10/2015 16:00:00,16.04
9/11/2015 16:00:00,16.04
9/14/2015 16:00:00,15.96
9/15/2015 16:00:00,16.31
9/16/2015 16:00:00,16.33
9/17/2015 16:00:00,15.86
9/18/2015 16:00:00,15.56
9/21/2015 16:00:00,15.7
9/22/2015 16:00:00,15.57
9/23/2015 16:00:00,15.72
9/24/2015 16:00:00,15.55
9/25/2015 16:00:00,15.89
9/28/2015 16:00:00,15.47
9/29/2015 16:00:00,15.35
9/30/2015 16:00:00,15.58
10/1/2015 16:00:00,15.55
10/2/2015 16:00:00,15.38
10/5/2015 16:00:00,15.69
10/6/2015 16:00:00,15.69
10/7/2015 16:00:00,15.75
10/8/2015 16:00:00,15.75
10/9/2015 16:00:00,15.58
10/12/2015 16:00:00,15.52
10/13/2015 16:00:00,15.52
10/14/2015 16:00:00,15.64
10/15/2015 16:00:00,16.19
10/16/2015 16:00:00,16.12
10/19/2015 16:00:00,16.14
10/20/2015 16:00:00,16.2
10/21/2015 16:00:00,15.9
10/22/2015 16:00:00,16.16
10/23/2015 16:00:00,16.52
10/26/2015 16:00:00,16.51
10/27/2015 16:00:00,16.4
10/28/2015 16:00:00,17.28
10/29/2015 16:00:00,17.09
10/30/2015 16:00:00,16.78
11/2/2015 16:00:00,17.06
11/3/2015 16:00:00,17.18
11/4/2015 16:00:00,17.01
11/5/2015 16:00:00,17.31
11/6/2015 16:00:00,17.95
11/9/2015 16:00:00,17.68
11/10/2015 16:00:00,17.85
11/11/2015 16:00:00,17.75
11/12/2015 16:00:00,17.37
11/13/2015 16:00:00,17.2
11/16/2015 16:00:00,17.43
11/17/2015 16:00:00,17.42
11/18/2015 16:00:00,17.84
11/19/2015 16:00:00,17.69
11/20/2015 16:00:00,17.65
11/23/2015 16:00:00,17.47
11/24/2015 16:00:00,17.47
11/25/2015 16:00:00,17.44
11/27/2015 16:00:00,17.48
11/30/2015 16:00:00,17.43
12/1/2015 16:00:00,17.81
12/2/2015 16:00:00,17.62
12/3/2015 16:00:00,17.3
12/4/2015 16:00:00,17.8
12/7/2015 16:00:00,17.54
12/8/2015 16:00:00,17.19
12/9/2015 16:00:00,17.1
12/10/2015 16:00:00,17.2
12/11/2015 16:00:00,16.73
12/14/2015 16:00:00,16.8
12/15/2015 16:00:00,17.42
12/16/2015 16:00:00,17.75
12/17/2015 16:00:00,17.3
12/18/2015 16:00:00,16.76
12/21/2015 16:00:00,16.97
12/22/2015 16:00:00,17.08
12/23/2015 16:00:00,17.34
12/24/2015 16:00:00,17.27
12/28/2015 16:00:00,17.13
12/29/2015 16:00:00,17.28
12/30/2015 16:00:00,17.05
12/31/2015 16:00:00,16.83
1/4/2016 16:00:00,16.43
1/5/2016 16:00:00,16.43
1/6/2016 16:00:00,16.08
1/7/2016 16:00:00,15.5
1/8/2016 16:00:00,15.2
1/11/2016 16:00:00,15.31
1/12/2016 16:00:00,15.31
1/13/2016 16:00:00,14.9
1/14/2016 16:00:00,14.99
1/15/2016 16:00:00,14.46
1/19/2016 16:00:00,14.24
1/20/2016 16:00:00,13.69
1/21/2016 16:00:00,13.36
1/22/2016 16:00:00,13.56
1/25/2016 16:00:00,12.96
1/26/2016 16:00:00,13.31
1/27/2016 16:00:00,13.36
1/28/2016 16:00:00,13.53
1/29/2016 16:00:00,14.14
2/1/2016 16:00:00,13.96
2/2/2016 16:00:00,13.23
2/3/2016 16:00:00,13.03
2/4/2016 16:00:00,13.25
2/5/2016 16:00:00,12.95
2/8/2016 16:00:00,12.27
2/9/2016 16:00:00,12.2
2/10/2016 16:00:00,11.98
2/11/2016 16:00:00,11.16
2/12/2016 16:00:00,11.95
